GATE_LEVEL Output Report:		  

Correct reading!	 TBArray value is=c63b3a8c	 DOUT value is=c63b3a8c	 of RADDR = 15	 time is                 1174
Correct reading!	 TBArray value is=84daf809	 DOUT value is=84daf809	 of RADDR =  7	 time is                 1184
Correct reading!	 TBArray value is=224b1944	 DOUT value is=224b1944	 of RADDR =  5	 time is                 1194
Correct reading!	 TBArray value is=dff7d4bf	 DOUT value is=dff7d4bf	 of RADDR = 12	 time is                 1204
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 1214
Correct reading!	 TBArray value is=34097b68	 DOUT value is=34097b68	 of RADDR = 10	 time is                 1224
Correct reading!	 TBArray value is=c3cb3487	 DOUT value is=c3cb3487	 of RADDR =  4	 time is                 1234
Correct reading!	 TBArray value is=224b1944	 DOUT value is=224b1944	 of RADDR =  5	 time is                 1244
Correct reading!	 TBArray value is=34097b68	 DOUT value is=34097b68	 of RADDR = 10	 time is                 1254
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 1264
Correct reading!	 TBArray value is=c3cb3487	 DOUT value is=c3cb3487	 of RADDR =  4	 time is                 1274
Correct reading!	 TBArray value is=84daf809	 DOUT value is=84daf809	 of RADDR =  7	 time is                 1284
Correct reading!	 TBArray value is=7b3e37f6	 DOUT value is=7b3e37f6	 of RADDR =  0	 time is                 1294
Correct reading!	 TBArray value is=82618204	 DOUT value is=82618204	 of RADDR = 13	 time is                 1304
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 1314
Correct reading!	 TBArray value is=9b1bfa36	 DOUT value is=9b1bfa36	 of RADDR =  9	 time is                 1324
Correct reading!	 TBArray value is=82618204	 DOUT value is=82618204	 of RADDR = 13	 time is                 1334
Correct reading!	 TBArray value is=c3cb3487	 DOUT value is=c3cb3487	 of RADDR =  4	 time is                 1344
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 1354
Correct reading!	 TBArray value is=34097b68	 DOUT value is=34097b68	 of RADDR = 10	 time is                 1364
Correct reading!	 TBArray value is=257cd14a	 DOUT value is=257cd14a	 of RADDR =  2	 time is                 1374
Correct reading!	 TBArray value is=93b3fa27	 DOUT value is=93b3fa27	 of RADDR =  6	 time is                 1384
Correct reading!	 TBArray value is=a89aaa51	 DOUT value is=a89aaa51	 of RADDR =  8	 time is                 1394
Correct reading!	 TBArray value is=82618204	 DOUT value is=82618204	 of RADDR = 13	 time is                 1404
Correct reading!	 TBArray value is=c63b3a8c	 DOUT value is=c63b3a8c	 of RADDR = 15	 time is                 1414
Correct reading!	 TBArray value is=dff7d4bf	 DOUT value is=dff7d4bf	 of RADDR = 12	 time is                 1424
Correct reading!	 TBArray value is=a89aaa51	 DOUT value is=a89aaa51	 of RADDR =  8	 time is                 1434
Correct reading!	 TBArray value is=48ebe191	 DOUT value is=48ebe191	 of RADDR =  3	 time is                 1444
Correct reading!	 TBArray value is=99e11433	 DOUT value is=99e11433	 of RADDR = 11	 time is                 1454
Correct reading!	 TBArray value is=c63b3a8c	 DOUT value is=c63b3a8c	 of RADDR = 15	 time is                 1464
Correct reading!	 TBArray value is=7b3e37f6	 DOUT value is=7b3e37f6	 of RADDR =  0	 time is                 1474
Correct reading!	 TBArray value is=9b1bfa36	 DOUT value is=9b1bfa36	 of RADDR =  9	 time is                 1484
